Domain Code,Domain,Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3302","Energy apparent intake","6128A","Average","kcal/cap/d","2112","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3302","Energy apparent intake","61281","Confidence interval: Lower bound","kcal/cap/d","2102","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3302","Energy apparent intake","61282","Confidence interval: Upper bound","kcal/cap/d","2121","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3303","Protein apparent intake","6123A","Average","g/cap/d","55.2","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3303","Protein apparent intake","61231","Confidence interval: Lower bound","g/cap/d","55","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3303","Protein apparent intake","61232","Confidence interval: Upper bound","g/cap/d","55.5","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3304","Fat apparent intake","6123A","Average","g/cap/d","44.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3304","Fat apparent intake","61231","Confidence interval: Lower bound","g/cap/d","44.4","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3304","Fat apparent intake","61232","Confidence interval: Upper bound","g/cap/d","45.3","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3305","Carbohydrate (available) apparent intake","6123A","Average","g/cap/d","348.3","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3305","Carbohydrate (available) apparent intake","61231","Confidence interval: Lower bound","g/cap/d","346.8","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3305","Carbohydrate (available) apparent intake","61232","Confidence interval: Upper bound","g/cap/d","349.8","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3306","Dietary Fibre apparent intake","6123A","Average","g/cap/d","41.1","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3306","Dietary Fibre apparent intake","61231","Confidence interval: Lower bound","g/cap/d","40.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3306","Dietary Fibre apparent intake","61232","Confidence interval: Upper bound","g/cap/d","41.4","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3307","Calcium apparent intake","6209A","Average","mg/cap/d","483","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3307","Calcium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","479","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3307","Calcium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","488","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3308","Iron apparent intake","6209A","Average","mg/cap/d","16.3","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3308","Iron apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","16.2","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3308","Iron apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","16.5","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3312","Zinc apparent intake","6209A","Average","mg/cap/d","10.77","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3312","Zinc apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","10.71","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3312","Zinc apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","10.83","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3309","Magnesium apparent intake","6209A","Average","mg/cap/d","483","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3309","Magnesium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","480","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3309","Magnesium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","487","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3310","Phosphorus apparent intake","6209A","Average","mg/cap/d","1301","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3310","Phosphorus apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1293","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3310","Phosphorus apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1309","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3311","Potassium apparent intake","6209A","Average","mg/cap/d","2523","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3311","Potassium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","2508","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3311","Potassium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","2538","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3314","Thiamin apparent intake","6209A","Average","mg/cap/d","1.39","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3314","Thiamin apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1.39","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3314","Thiamin apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1.4","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3315","Riboflavin apparent intake","6209A","Average","mg/cap/d","0.92","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3315","Riboflavin apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","0.91","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3315","Riboflavin apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","0.92","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3316","Vitamin B6 apparent intake","6209A","Average","mg/cap/d","1.66","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3316","Vitamin B6 apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1.65","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10000","National","FG0","All food groups","3316","Vitamin B6 apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1.67","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
