Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
34.91,Male,65.27,1.62,188.58,157.65,69.05,1,1080.9,Strength,26.80037718,1.5,3.99,2.01,24.87,2.99,0.01,267.68,106.05,71.63,1806,Affect Stew,Lunch,Vegan,31.77,1729.94,285.05,120.47,Grilled,16.24,110.79,1.31,0,Decline Push-ups,4.99,20.91,Improves shoulder health and posture,342.58,"Shoulders, Triceps",Cable Machine,Advanced,Legs,Lats,Dumbbell flyes
23.37,Female,56.41,1.55,179.43,131.75,73.18,1.37,1809.91,HIIT,27.65502095,1.9,4,2.01,23.48,3.01,0.97,214.32,85.41,56.97,1577,Writer Rice,Lunch,Vegetarian,12.34,693.08,300.61,109.15,Fried,16.47,12.01,1.92,0.01,Bear Crawls,4.01,16.15,Strengthens lower abs,357.16,"Back, Core, Shoulders",Step or Box,Intermediate,Chest,Lats,Lateral raises
33.2,Female,58.98,1.67,175.04,123.95,54.96,0.91,802.26,Cardio,24.32082112,1.88,2.99,1.02,21.15,1.99,-0.02,246.04,98.11,65.48,1608,Television Stew,Breakfast,Paleo,42.81,2142.48,215.42,399.43,Boiled,54.35,6.09,4.7,0,Dips,5,21.9,Builds chest strength,359.63,"Quadriceps, Glutes",Step or Box,Intermediate,Arms,Grip Strength,Standing calf raises
38.69,Female,93.78,1.7,191.21,155.1,50.07,1.1,1450.79,HIIT,32.81357179,2.5,3.99,1.99,32.45,3,0.04,203.22,80.84,54.56,2657,Plant Curry,Lunch,Paleo,9.34,123.2,9.7,314.31,Fried,27.73,103.72,4.85,0.01,Mountain Climbers,4.01,16.92,Improves coordination and cardiovascular health,351.65,"Biceps, Forearms",Parallel Bars or Chair,Advanced,Shoulders,Upper,Incline dumbbell flyes
45.09,Male,52.42,1.88,193.58,152.88,70.84,1.08,1166.4,Strength,17.3073186,2.91,4,2,14.83,3,3,332.79,133.05,88.43,1470,Her Stew,Breakfast,Vegan,23.78,1935.11,116.89,99.22,Baked,34.16,46.55,3.07,0.01,Bicep Curls,4.99,15.01,Targets obliques and improves core rotation,329.36,"Chest, Triceps",Wall,Advanced,Abs,Wrist Flexors,Military press
53.19,Female,105.05,1.84,176.52,130.6,61.84,0.69,453.33,Yoga,32.04906404,2.91,3.02,1,31.03,2.99,-0.04,170.86,67.92,46.06,2767,Plan Salad,Snack,Keto,15.89,2382.39,36.38,416.54,Steamed,20.98,54.64,3.38,0.01,Leg Press,4,25.1,Builds explosive power,374.56,"Core, Obliques",Resistance Band or Cable Machine,Beginner,Arms,Wrist Flexors,Skull crushers
23.17,Male,58.41,1.78,184.75,140.9,58.01,1.67,1953.9,Strength,20.54629201,2.71,4.96,3,18.44,2.02,-0.03,280.33,112.35,74.97,1867,Relationship Rice,Breakfast,Low-Carb,12.48,2220.46,56.69,289.93,Fried,52.43,46.08,3.81,1,Thrusters,5.01,25.04,Strengthens back and improves posture,328.94,Core,None or Dumbbells,Advanced,Shoulders,Wrist Flexors,Barbell rows
55.92,Female,84.07,1.63,183.87,141.12,51.79,1.01,727.81,Yoga,32.08817621,2.88,3.97,2.01,31.64,2.99,0,262.57,105.41,70.37,2191,Cultural Rice,Snack,Low-Carb,2.87,1501.99,74.7,487.67,Raw,38.57,36.64,3.16,0,Turkish Get-ups,4.97,18.95,Improves core stability and upper body strength,363.56,"Back, Biceps",Pull-up Bar,Intermediate,Back,Lower,Hammer curl
24.11,Female,88.58,1.79,176.78,154.07,65.19,1.76,2062.37,Strength,27.36724577,3.49,4.01,3.02,27.65,3,0.02,173.08,69.44,45.91,2587,Leader Sandwich,Lunch,Vegan,0.72,293.36,188.26,123.56,Boiled,45.85,14.31,2.81,0,Glute Bridges,3.99,24.1,Full body workout,349.51,"Upper Chest, Triceps",Barbell,Beginner,Chest,Middle,Russian twists
39.19,Female,50.32,1.6,166.88,128.04,49.91,1.17,1157.25,Strength,21.90937915,2.49,2,1,19.66,3.01,0.02,191.06,76.76,50.71,1247,Fact Curry,Lunch,Paleo,50.02,757.93,291.34,415.04,Grilled,18.95,26.51,1.6,0,Step-ups,4.02,16.09,Builds chest strength,326.31,"Core, Lower Back",Low Bar or TRX,Intermediate,Forearms,Lower Chest,Towel pull-up
50.51,Male,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,Strength,29.0715285,3.49,4.01,2.98,32.51,3,0.02,258.98,102.72,68.72,2476,Child Soup,Breakfast,Keto,10,1356.53,170.61,270.38,Baked,41.73,119.53,2.54,0,Plank,4.99,17.03,Targets obliques and improves core rotation,356.2,"Lower Chest, Triceps",Wall,Intermediate,Abs,Triceps,Bicep Curls
47.77,Female,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,HIIT,23.6493182,3.51,5.02,3.01,25.33,3.01,0.01,231.16,93.27,61.23,2232,Finally Pasta,Snack,Keto,11.88,323.04,135.18,393.39,Grilled,11.26,26.52,4.07,0.01,Pull-ups,4,20.97,Strengthens lower body,361.13,"Chest, Triceps",Dumbbells,Advanced,Shoulders,Quads,Face pulls
19,Male,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,HIIT,24.12878692,3.5,5.02,2.99,21.52,3.01,0.01,181.82,71.6,48.11,2569,Despite Soup,Dinner,Vegan,30.3,80.98,210.51,239.19,Baked,10.14,116.47,2.91,0,Lunges,3.99,23.95,Isolates triceps,357.96,"Core, Shoulders, Hips",Bench or Sturdy Surface,Advanced,Abs,Lower Chest,Seated calf raises
38.01,Female,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,HIIT,26.5944312,2.71,5,3,23.7,3.98,2.99,369.71,147.77,98.38,1726,Who Pasta,Breakfast,Low-Carb,35.84,131.07,244.36,471.47,Grilled,37.25,74.43,3.91,0,Turkish Get-ups,4.99,14.93,Builds unilateral leg strength and balance,338.54,"Lower Chest, Triceps",None or Dumbbells,Advanced,Shoulders,Triceps,Fat grip dumbbell curl
27.39,Female,71.79,1.97,180.96,151.11,72.68,0.75,743.85,Strength,24.47776253,3.59,3.01,1.02,18.5,3.01,0.02,207.16,82.59,55.08,2046,Along Pasta,Lunch,Low-Carb,16.18,674.45,127.06,306.18,Roasted,47.37,119.27,4.24,0,Plyo Squats,4,15.13,Improves core stability,356.83,"Shoulders, Triceps",Barbell,Advanced,Chest,Middle,Hammer curls
18.86,Female,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,Strength,28.04992817,2.3,4,1.98,27.79,2,0.96,298.25,118.86,79.54,2455,Black Curry,Snack,Paleo,25.56,835.15,299.07,300.06,Raw,60.3,15.35,2.65,-0.01,Squats,4.99,17.87,Improves core stability and balance,359.74,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Advanced,Legs,Lower,Plate pinch
40.36,Male,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,Strength,21.80926489,2.69,5.02,3.01,19.45,1.98,0.01,192.66,76.8,51.19,1740,Try Rice,Breakfast,Paleo,43.14,58.47,291.5,352.42,Raw,54.98,40.14,2.88,0,Frog Jumps,5,20.9,Strengthens back and improves posture,342.47,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Forearms,Triceps,Donkey kicks
37.14,Male,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,Cardio,30.30073791,2.09,4,2,24.41,2.99,-0.02,233.62,92.99,62.41,2166,Court Stew,Breakfast,Low-Carb,27.8,434.36,271.65,370.94,Steamed,39.18,37.58,4.9,0.01,Step-ups,5,16.98,Improves balance and leg strength,356.98,"Quadriceps, Hamstrings, Glutes",Bench or Step,Beginner,Chest,Anterior,Decline dumbbell press
18.93,Male,72.56,1.79,177.48,124.41,60.95,0.81,803.36,Strength,26.4051144,1.58,2.99,1.02,22.65,2.99,0.02,219.75,87.27,58.09,1802,On Salad,Lunch,Vegetarian,5.03,1193.73,252.47,366.68,Baked,12.55,43.72,1.1,1,Lunges,4,25.07,Improves posture and strengthens upper back,332.12,"Chest, Triceps",Low Bar or TRX,Beginner,Legs,Wrist Flexors,Barbell curls
46,Male,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,HIIT,21.80402936,2.51,4.01,2,21.28,1.99,0.01,247.96,99.4,66.24,1716,Top Salad,Lunch,Vegetarian,16.21,1318.33,53.39,122.1,Fried,28.89,35.79,1.07,0,Deadlifts,4,23.01,Isolates and strengthens triceps,350.23,"Core, Shoulders, Legs",Wall,Intermediate,Chest,Lower,Military press
37.06,Female,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,Strength,25.78541781,2.39,3,2,24.12,3.02,1,300.3,120.63,80.22,2038,Book Pasta,Snack,Vegan,1.96,2075.74,21.79,229.67,Boiled,43.88,57.5,3.84,-0.01,Decline Push-ups,4.98,22.86,Targets upper chest,333.67,"Shoulders, Upper Back",Cable Machine or Resistance Band,Beginner,Abs,Anterior,Dumbbell front raises
50.23,Female,86.72,1.63,160.86,143.17,58.08,1.7,1326,Yoga,29.12385209,3.51,4,3,32.64,3,-0.01,256.65,103.91,68.88,2212,End Stew,Breakfast,Balanced,10.7,1357.2,172.78,270.05,Raw,42,120,2.47,0,Prone Cobras,5,17.09,Strengthens back and legs,356.6,"Upper Chest, Triceps",Bench or Chair,Advanced,Chest,Posterior,Russian twists
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio,29.3186066,1.82,3.98,1.95,26.25,2,1.01,222.21,89.25,58.85,2182,Difficult Wrap,Breakfast,Paleo,15.41,278.9,228.23,407.72,Raw,59.79,72.64,1.76,0.01,Glute Bridges,4,24.02,Improves shoulder mobility and posture,353.43,"Chest, Triceps, Shoulders",Step or Box,Advanced,Forearms,Grip Strength,Hyperextensions
