FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,SLEEP_HOURS,DAILY_SHOUTING,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,WORK_LIFE_BALANCE_SCORE,GENDER_NEW,AGE_GROUP
3,2,5,0,5,1,6,4,5,7,5,1,0,5,609.5,1,2
2,3,3,8,10,2,5,2,5,8,2,2,2,6,655.6,1,2
2,3,4,4,10,2,2,2,4,8,2,2,8,3,631.6,1,2
3,3,3,10,7,2,3,5,5,5,5,1,2,0,622.7,1,3
5,1,3,10,4,2,5,0,5,7,0,2,1,5,663.9,1,3
3,2,9,10,10,1,6,1,7,8,2,2,8,3,722.3,1,3
4,2,6,10,10,2,8,8,7,7,0,2,8,10,727.2,0,3
3,4,3,5,7,1,8,2,8,6,2,2,2,2,676.2,1,1
5,3,4,3,3,1,10,2,1,10,2,2,3,10,702.8,1,1
4,4,6,10,10,2,3,2,3,6,0,1,8,1,634.4,1,3
2,4,7,1,1,2,2,2,7,8,3,2,0,6,610.1,1,2
1,4,8,0,2,1,2,1,8,7,1,2,1,7,618.6,0,1
2,2,5,2,8,2,7,1,6,8,0,2,2,7,686.4,0,1
5,3,3,6,6,1,8,7,7,6,3,2,6,5,689.6,1,2
3,3,3,7,5,1,8,0,2,8,2,1,5,4,639.7,1,1
3,3,4,10,10,1,7,2,8,6,2,2,3,10,720.4,1,3
4,2,4,6,10,1,8,2,1,8,1,2,3,3,673.5,0,1
4,2,10,5,10,1,7,1,10,8,3,2,8,6,707.6,0,1
5,3,7,10,5,1,6,2,8,9,7,2,4,7,727.8,1,2
3,1,10,10,6,2,8,4,1,8,0,2,1,2,687.1,0,2
2,4,8,6,5,1,8,1,4,4,3,2,2,5,652.9,0,1
3,5,4,5,3,2,10,6,3,7,7,2,10,10,668.6,1,1
5,2,6,10,10,2,4,4,3,7,2,2,6,8,709.4,0,2
2,2,10,10,10,1,10,6,7,7,1,2,5,7,752.7,0,2
2,4,10,5,5,2,6,1,7,6,3,2,3,10,677.7,1,2
1,5,3,6,5,1,2,2,8,7,6,2,1,1,633.9,0,1
1,4,2,5,3,1,1,5,8,7,4,2,1,1,628.8,0,1
2,4,3,10,7,1,6,0,5,7,1,2,2,2,692.8,1,1
3,4,4,7,10,1,4,1,10,6,3,1,2,8,673.2,1,2
4,2,3,1,2,1,7,2,4,7,3,2,1,7,673.9,1,0
5,3,3,7,5,1,7,2,10,7,0,1,5,10,712.5,0,1
3,1,5,2,10,1,5,4,3,8,1,2,4,1,692.6,1,2
0,5,3,3,8,2,4,4,1,6,10,2,2,1,574.5,1,2
1,3,3,2,3,1,2,2,5,8,0,1,3,7,630.1,1,3
4,2,6,10,8,1,10,2,10,7,3,2,4,10,746.5,0,1
3,3,2,0,5,2,3,1,2,6,6,1,2,10,591.7,0,1
2,3,4,10,8,1,5,5,2,6,3,2,6,10,729.4,1,3
2,5,8,5,2,2,2,0,10,8,10,1,0,10,593.7,1,2
4,1,10,10,10,2,8,3,7,6,2,1,4,10,682.8,0,3
5,3,6,10,7,1,8,5,3,9,3,2,6,10,723.4,1,3
4,2,8,8,4,1,5,4,3,7,1,2,4,8,687.3,1,1
4,3,8,10,3,2,0,0,3,5,2,2,0,2,635.9,1,3
2,3,8,10,10,2,5,0,2,9,3,1,0,10,655.2,1,3
3,2,1,1,10,1,7,5,7,7,3,1,5,8,652.4,0,1
2,3,10,3,4,1,7,1,8,8,3,2,2,3,657.9,1,2
3,5,2,9,10,1,10,1,10,5,7,2,2,2,686.6,1,2
5,3,10,10,6,1,7,4,10,6,1,2,4,10,732.7,1,3
4,2,10,5,8,2,6,3,10,8,2,1,3,7,685.5,1,1
3,2,10,10,10,2,10,3,7,7,2,2,3,10,742.5,1,3
2,3,10,10,10,2,7,4,2,8,2,2,1,1,663.5,1,2
4,3,3,10,10,1,4,6,8,7,4,2,5,9,710.4,1,1
3,5,9,5,10,2,8,4,10,8,4,2,3,5,658.3,1,1
1,2,6,1,10,2,5,1,5,6,1,2,1,2,633.1,0,2
5,2,6,4,9,1,5,3,6,8,3,2,3,5,677.9,1,3
4,2,10,10,2,2,4,2,1,6,1,2,4,4,640.8,1,1
1,4,1,1,7,1,0,5,3,6,8,1,2,1,557.9,1,0
4,2,6,2,10,2,6,3,5,8,3,2,1,2,669.2,1,2
5,4,6,5,10,1,4,4,10,7,2,2,4,5,712.5,0,2
4,3,1,10,2,1,9,2,10,7,0,2,1,7,712.5,1,3
0,5,2,1,2,1,0,0,1,10,2,1,0,0,571.9,0,1
0,5,2,1,2,1,1,0,1,10,2,1,0,0,575.3,0,1
4,3,7,5,8,1,7,3,8,7,1,2,9,4,678.1,1,1
5,2,5,4,4,1,4,4,6,7,3,1,8,8,648.8,0,1
1,1,2,1,5,1,5,4,8,6,0,2,1,7,649.0,0,1
2,5,4,10,0,1,5,1,2,9,4,1,1,10,656.9,1,2
3,3,8,7,6,1,8,4,5,6,7,2,4,8,680.7,1,1
3,3,8,7,6,1,8,4,5,6,7,1,4,8,663.7,1,1
2,1,3,2,4,2,5,2,10,7,1,2,3,10,661.5,0,1
3,1,1,1,3,1,0,0,6,7,2,2,1,1,609.7,1,3
3,2,4,10,10,2,7,0,1,8,1,2,2,6,656.5,1,1
4,3,10,10,10,1,9,3,8,8,0,2,6,10,739.5,0,1
3,5,0,2,3,1,8,2,10,4,0,2,1,10,657.5,1,1
0,4,2,2,3,2,1,0,4,4,10,1,0,0,528.8,1,2
4,3,8,10,10,2,10,2,7,6,1,2,1,3,694.7,0,3
5,1,4,2,2,1,10,1,4,8,2,2,5,10,662.2,1,3
5,2,1,10,10,1,8,2,5,7,0,2,2,10,704.7,1,1
5,2,1,4,5,1,8,2,10,8,6,2,1,6,694.0,1,2
5,2,1,4,5,1,8,2,10,8,6,2,1,6,694.0,1,2
3,3,10,5,7,1,8,4,10,8,1,1,3,7,709.3,1,1
0,5,2,0,0,2,0,1,1,6,10,1,1,10,538.8,0,1
1,1,2,1,3,1,2,2,8,8,1,2,1,10,654.5,0,0
5,1,4,10,4,2,10,1,1,8,3,2,3,10,680.3,1,3
0,5,2,0,0,2,0,1,1,6,10,1,1,10,538.8,0,1
3,4,7,5,7,2,7,2,3,6,5,2,0,4,651.4,1,1
5,2,5,5,10,1,9,4,2,8,0,2,5,5,724.7,1,1
5,2,6,10,10,2,5,2,6,6,0,2,2,5,677.5,1,3
4,4,2,10,10,2,6,5,7,6,0,2,3,7,696.4,1,3
2,4,6,4,5,1,8,1,2,8,1,1,6,4,658.4,1,2
5,0,3,10,7,1,10,4,8,8,1,2,5,10,749.7,1,2
5,0,3,10,7,1,10,4,8,8,1,2,5,10,749.7,1,2
3,4,7,4,4,2,6,1,9,6,9,2,1,10,676.4,1,2
3,4,4,2,5,2,1,1,9,6,10,2,0,10,594.8,1,1
5,3,1,10,10,1,9,5,10,8,0,2,5,10,758.6,1,1
3,4,1,4,3,1,5,0,7,6,7,2,1,10,640.3,0,1
3,2,3,8,10,1,8,1,8,7,2,2,1,7,678.1,0,2
2,3,4,10,10,2,8,3,4,6,1,2,1,7,678.8,0,2
1,5,1,1,3,2,1,0,1,10,6,2,0,1,551.5,1,2
5,5,2,10,8,1,9,2,10,6,3,1,2,1,639.2,1,1
1,3,6,10,10,1,9,6,7,7,1,2,5,3,718.7,1,1
1,3,6,7,10,1,9,4,5,7,2,2,3,3,697.9,1,1
2,3,3,5,5,1,5,3,4,7,1,2,4,4,670.5,1,3
4,3,10,10,10,1,4,3,3,7,6,1,2,6,666.9,1,2
5,4,10,4,8,2,4,0,8,6,5,1,2,3,638.8,0,1
5,4,3,10,8,2,3,1,5,6,3,1,5,6,651.8,1,1
3,2,3,2,3,1,8,3,10,9,2,1,2,9,639.8,0,1
3,2,8,8,5,1,5,1,6,7,6,2,2,7,687.9,1,2
2,3,10,3,4,2,1,2,2,7,1,2,0,2,593.6,1,1
3,4,8,8,3,1,6,1,5,8,7,1,1,3,626.7,1,1
2,2,1,0,10,1,7,3,3,6,1,1,1,7,658.2,0,1
1,2,4,1,1,1,8,0,1,7,3,1,5,7,605.3,1,3
3,2,6,5,9,2,5,4,1,6,2,1,2,2,645.9,1,2
2,2,6,3,2,1,4,3,6,8,0,2,5,6,669.4,0,1
1,3,5,1,2,1,2,1,10,7,0,1,0,7,605.4,1,1
3,2,7,7,5,2,9,2,5,6,3,2,2,8,690.9,1,3
5,2,7,4,3,1,7,7,1,9,3,2,5,10,709.4,1,0
5,2,7,4,3,1,7,7,1,9,3,2,5,10,709.4,1,0
3,5,3,2,10,2,10,1,10,6,4,1,3,10,627.3,1,1
2,5,10,3,2,1,5,2,4,8,10,2,3,10,643.5,1,3
2,1,0,0,6,1,5,2,8,7,3,2,4,4,637.3,0,1
1,2,8,4,5,1,5,1,9,10,3,2,2,4,665.3,1,1
1,2,8,4,5,1,5,1,9,10,3,2,2,4,665.3,1,1
5,2,5,6,5,1,7,3,10,9,5,2,3,10,714.6,0,1
5,3,6,5,10,1,9,3,9,5,6,1,5,3,649.0,1,1
5,2,4,4,10,1,9,2,10,7,3,2,1,10,717.6,1,2
5,4,3,10,10,1,8,2,10,7,0,2,2,8,748.2,0,2
3,5,7,2,5,1,3,1,9,7,8,2,0,10,637.5,1,2
2,3,7,2,5,1,3,2,9,4,3,1,1,7,628.4,1,1
3,4,5,0,5,1,3,4,3,5,3,2,4,5,634.2,0,0
5,4,7,4,4,1,2,0,3,9,5,2,3,8,653.7,0,1
1,3,5,6,2,1,8,2,10,8,0,1,4,10,656.6,0,1
2,0,10,2,5,1,10,1,1,10,0,2,7,10,670.5,1,2
1,2,1,3,7,2,2,1,1,8,0,2,0,4,588.5,1,2
2,3,3,2,8,1,8,3,6,8,10,2,1,8,672.8,1,2
5,4,3,3,10,1,7,2,10,6,2,2,3,5,695.3,0,1
2,3,5,6,5,2,6,1,2,6,5,1,1,1,591.7,0,2
3,2,5,1,10,2,8,3,5,9,7,2,1,8,649.0,1,1
5,3,10,6,10,2,8,4,7,7,1,2,2,5,708.5,1,3
1,1,6,6,4,1,9,4,3,6,1,2,2,4,673.5,1,0
0,4,1,8,3,1,1,1,4,5,8,2,0,4,595.3,1,1
3,4,6,10,10,2,4,1,10,7,4,2,6,5,671.7,1,3
3,4,4,2,3,1,0,1,10,5,7,2,2,3,625.4,1,0
5,1,6,2,7,1,7,6,7,10,1,2,3,7,705.7,0,0
5,2,10,8,10,1,10,5,9,9,3,2,6,5,753.5,0,2
5,1,4,2,10,1,8,8,8,10,1,2,5,7,707.6,0,0
5,0,4,4,8,1,9,7,10,10,0,2,5,5,713.1,0,0
5,2,4,7,1,2,9,1,7,6,1,2,8,4,687.9,1,3
2,3,4,10,8,1,5,5,2,6,3,2,6,10,729.4,1,3
5,3,10,5,5,2,8,2,5,7,9,2,3,7,665.6,1,3
1,2,3,1,2,2,2,0,2,8,2,1,0,1,576.8,0,1
2,5,6,2,4,2,3,1,5,6,10,2,3,3,602.5,1,2
3,4,5,8,4,1,5,4,7,6,2,2,2,7,669.2,1,2
2,2,6,4,4,1,6,2,4,7,3,2,4,6,680.7,1,2
5,5,5,10,10,1,4,5,4,9,3,2,9,5,694.7,1,2
3,4,2,10,3,2,3,4,1,9,0,2,0,0,612.5,1,2
4,3,6,4,7,1,7,2,5,7,3,2,2,10,679.2,0,2
2,3,3,0,10,1,7,6,3,8,1,2,6,10,677.3,0,1
5,1,8,10,10,1,10,6,6,7,0,2,1,10,730.4,1,2
3,5,3,6,4,1,10,4,2,8,2,1,4,7,658.4,1,2
5,3,4,10,2,1,9,1,4,6,1,2,2,6,714.5,1,2
5,5,5,6,10,1,0,4,6,6,8,1,1,3,619.7,1,0
4,3,7,4,5,1,8,2,6,7,3,2,3,5,672.6,1,1
3,3,2,3,3,2,8,0,3,8,3,2,0,1,602.5,1,2
4,3,7,10,4,1,8,2,5,7,0,2,1,7,689.4,1,3
3,2,10,6,6,2,8,10,2,7,2,2,4,3,683.7,0,3
3,2,10,6,6,2,8,10,2,7,2,2,4,3,683.7,0,3
1,5,1,6,4,1,9,6,4,6,1,2,0,1,632.9,1,3
1,1,5,3,7,1,5,2,5,8,3,2,1,4,665.8,0,1
5,3,10,10,6,2,10,7,6,6,1,2,6,7,733.6,1,3
5,2,10,10,10,1,8,2,10,8,1,2,2,7,711.0,1,3
1,3,2,2,1,2,2,0,3,10,4,1,0,10,558.7,0,1
4,3,10,10,10,1,10,9,10,8,4,2,10,5,753.5,1,3
3,2,3,2,5,1,6,3,3,7,4,1,4,4,636.3,1,1
3,3,8,4,1,2,4,1,2,9,4,1,1,6,604.2,1,1
1,4,6,10,7,2,2,5,2,5,1,1,1,5,620.4,0,3
3,4,5,10,6,1,7,1,10,5,5,2,0,3,645.8,1,1
3,4,1,4,1,2,6,2,9,6,2,1,1,2,594.8,0,1
2,3,10,1,10,2,10,5,10,6,1,2,5,8,674.9,0,1
5,3,5,8,10,2,10,5,10,6,2,2,4,7,715.7,1,3
2,1,2,0,1,2,1,2,1,6,10,2,0,10,596.6,0,3
5,1,4,2,4,1,4,3,2,8,3,2,3,7,680.5,0,0
5,1,4,2,4,1,4,3,2,8,3,2,3,7,680.5,0,0
3,2,8,8,8,1,10,5,10,7,0,2,1,7,715.9,1,2
3,3,5,8,2,2,5,2,10,7,2,2,1,3,639.4,1,3
5,1,3,0,9,1,5,3,7,8,2,2,1,9,698.5,1,1
0,1,9,8,10,1,2,1,2,8,4,1,0,1,639.7,0,1
4,4,4,10,4,1,5,3,5,7,1,2,10,10,714.9,1,3
2,2,4,4,5,1,3,2,9,7,4,2,2,8,657.9,1,1
4,2,6,1,10,2,5,6,3,8,1,2,1,10,658.6,1,3
5,1,10,10,5,1,10,6,6,8,0,2,4,10,732.3,1,3
5,2,3,3,10,2,10,1,4,7,1,2,10,10,706.2,1,3
3,4,7,6,6,2,9,1,9,5,7,2,0,0,642.2,1,1
5,2,3,4,5,1,4,5,7,9,3,2,2,9,702.1,1,3
2,3,10,10,8,1,5,3,6,7,1,1,5,10,699.8,1,1
4,2,2,10,10,1,7,6,5,7,2,1,8,8,665.6,0,3
3,3,9,8,5,2,7,7,1,10,3,2,6,7,677.3,1,0
5,2,8,10,10,1,7,5,10,7,5,2,4,4,729.5,1,2
0,3,5,4,5,1,2,2,1,6,5,1,1,10,628.9,1,1
2,5,4,4,4,1,2,0,1,8,4,1,1,3,583.4,1,1
0,4,4,0,3,2,5,3,1,8,1,2,5,9,597.0,0,1
5,4,10,7,3,1,6,0,8,7,6,2,3,3,679.8,1,1
2,4,0,9,8,1,2,2,4,9,8,1,4,10,628.4,0,2
2,4,10,5,5,2,2,2,1,5,5,2,0,2,627.0,0,2
2,1,8,10,5,1,7,8,7,8,2,2,10,10,739.3,0,1
4,4,10,10,7,2,8,4,10,8,10,2,7,7,704.2,1,2
1,4,6,5,7,1,4,1,1,7,3,1,2,10,661.4,1,0
5,4,10,7,3,1,6,0,8,7,6,2,3,3,679.8,1,1
2,4,8,4,4,2,8,3,4,6,7,2,1,8,615.9,0,2
4,4,5,7,7,1,8,7,8,8,2,2,4,9,741.2,1,3
3,1,3,10,3,2,7,2,10,8,1,1,5,10,677.0,0,2
3,1,3,10,3,2,7,2,10,8,1,1,5,10,677.0,0,2
4,4,5,3,10,2,9,1,3,7,3,2,1,2,644.8,0,3
1,1,4,10,10,1,8,7,10,6,2,2,5,10,727.6,0,1
1,1,4,10,10,1,8,7,10,6,2,2,5,10,727.6,0,1
3,4,1,10,1,2,7,2,3,6,0,1,1,3,608.9,1,2
3,1,9,10,10,1,9,6,2,7,1,2,6,10,734.7,1,1
1,4,10,6,2,1,2,2,3,10,1,1,1,8,650.5,1,1
5,0,9,8,6,1,6,6,8,9,1,2,3,10,743.1,0,1
3,1,10,10,10,2,8,10,5,9,1,2,5,10,725.5,1,3
5,1,7,7,10,1,8,10,8,6,0,2,5,10,749.3,0,1
3,4,5,4,10,2,8,7,10,6,3,2,5,3,703.8,1,2
4,5,4,5,10,1,5,3,8,6,5,2,2,5,660.9,1,3
4,2,10,10,4,1,5,6,2,7,1,1,5,10,702.4,0,2
2,5,2,10,10,2,4,4,5,10,3,2,2,7,639.0,0,2
2,5,2,10,10,2,4,4,5,10,3,2,2,7,639.0,0,2
1,3,4,4,2,2,4,0,1,9,1,2,0,1,609.1,0,1
5,0,3,10,5,2,0,0,9,4,10,2,4,10,645.4,0,3
4,2,5,4,9,1,6,2,7,8,10,2,3,3,688.3,1,2
4,2,5,4,9,1,6,2,7,8,10,2,3,3,688.3,1,2
4,1,9,3,4,1,6,2,4,9,1,2,3,4,698.1,1,1
5,5,5,3,2,1,3,3,8,6,7,1,3,5,615.0,1,1
4,2,8,8,7,1,9,5,9,7,2,2,5,10,727.6,1,2
4,1,10,7,8,2,6,8,5,7,1,2,3,10,720.0,1,2
